model,condition_grade,rate,sample_size,source_note
,A,0.485,107,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
,ALL,0.482,309,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
,B,0.307,57,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
,DS,0.778,63,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
,UNKNOWN,0.439,63,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
993,ALL,0.607,14,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
airforce1low,A,0.447,68,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
airforce1low,ALL,0.439,189,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
airforce1low,B,0.281,36,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
airforce1low,DS,0.786,39,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
airforce1low,UNKNOWN,0.439,36,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
gazelleindoor,A,0.444,27,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
gazelleindoor,ALL,0.444,72,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
gazelleindoor,B,0.317,14,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
gazelleindoor,DS,0.778,14,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
gazelleindoor,UNKNOWN,0.411,12,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
xt6,ALL,0.57,30,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
xt6,UNKNOWN,0.486,10,당근 실거래 중앙값 / KREAM 표준 컬러웨이 참조 중앙값
