alias,brand,model_key,model_display
# 사용자 입력·매물 제목의 모델 표기(한/영)를 시세 CSV(used_market_prices.csv)의 model_key로 접는 표.
# crawler/calibration/model_aliases.py와 같은 역할이지만 키 체계는 시세 CSV를 따른다 -
# 파서·Matcher·pre-filter·시세 조회가 전부 이 키 하나로 만나야 한다.
# 매칭 규칙: 별칭·입력 모두 소문자 + 영숫자/한글만 남긴 뒤 "긴 별칭부터" 포함 검사한다.
# 숫자만 있는 모델(530/574/990/1461...)은 브랜드 표기가 붙은 별칭만 둔다 - 가격·사이즈 숫자에 붙는 오탐 방지.
# --- Nike ---
에어포스1,Nike,airforce1,Air Force 1
에어포스원,Nike,airforce1,Air Force 1
에어포스,Nike,airforce1,Air Force 1
air force 1,Nike,airforce1,Air Force 1
airforce1,Nike,airforce1,Air Force 1
af1,Nike,airforce1,Air Force 1
에어맥스90,Nike,airmax90,Air Max 90
air max 90,Nike,airmax90,Air Max 90
am90,Nike,airmax90,Air Max 90
에어맥스95,Nike,airmax95,Air Max 95
air max 95,Nike,airmax95,Air Max 95
am95,Nike,airmax95,Air Max 95
에어맥스97,Nike,airmax97,Air Max 97
air max 97,Nike,airmax97,Air Max 97
am97,Nike,airmax97,Air Max 97
에어맥스 코코,Nike,airmaxkoko,Air Max Koko
에어맥스코코,Nike,airmaxkoko,Air Max Koko
air max koko,Nike,airmaxkoko,Air Max Koko
코코 샌들,Nike,airmaxkoko,Air Max Koko
블레이저,Nike,blazer,Blazer
blazer,Nike,blazer,Blazer
코르테즈,Nike,cortez,Cortez
cortez,Nike,cortez,Cortez
덩크하이,Nike,dunkhigh,Dunk High
dunk high,Nike,dunkhigh,Dunk High
덩크로우,Nike,dunklow,Dunk Low
덩크로,Nike,dunklow,Dunk Low
dunk low,Nike,dunklow,Dunk Low
덩크,Nike,dunklow,Dunk Low
dunk,Nike,dunklow,Dunk Low
조던1,Nike,jordan1,Jordan 1
에어조던1,Nike,jordan1,Jordan 1
조던 원,Nike,jordan1,Jordan 1
air jordan 1,Nike,jordan1,Jordan 1
jordan 1,Nike,jordan1,Jordan 1
