source,source_product_id,brand,original_brand_text,item_title,price_krw,original_price,size,description,is_sold,item_url,collected_at,image_urls,local_image_paths
FRUITSFAMILY,379599,Nike,Nike,나이키 빈티지 와플레이서 신발,59000,99000,250,"사이즈 250 상태 7/10
마지막 사진 까짐 참고

인스타 상점 Josephine에서 파는 제품입니다!

오래전에 단종된 신발이라 현재 매물 0입니다!

📦 택배비 +4,500원 / 제주도&산간지역+7,000원

• 실측의 경우 재는 사람의 방식에 따라 오차 범위가 존재할 수 있습니다.
• 사이즈 문의 안 받습니다. 
• 미처 확인하지 못한 오염이나 데미지가 있을 수 있습니다.
•교환 환불 불가합니다.",False,https://fruitsfamily.com/product/84wf/%EB%82%98%EC%9D%B4%ED%82%A4-%EB%B9%88%ED%8B%B0%EC%A7%80-%EC%99%80%ED%94%8C%EB%A0%88%EC%9D%B4%EC%84%9C-%EC%8B%A0%EB%B0%9C,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/nhZY2LwyZR-8166E504-3A18-4A77-9545-4C56F0688630.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/Uw5eVwiRCU-EDC771DF-05F6-4A32-AAEC-3334EC3DDC74.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/sMRgbOMFX3-1B83AC40-925C-47DB-958F-84A3268471DB.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/PHUzCEpaGN-8D852D7B-1E61-4649-8E72-E79EB2CFB28D.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/JGN5MeRPJG-D14229E3-43ED-417B-AF33-FBF6D1329329.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/GewFOcHFuN-AFB52B22-D2A7-4027-9350-C4E6E437FF85.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/KE0jaXz3J5-0B1007F6-9BD0-47F0-8FE4-96C126EB6B03.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/8FSaVLlZIA-A6BC1471-E073-4242-BD5B-95084D5D629D.jpg,data/images/nike/379599_01.jpg|data/images/nike/379599_02.jpg|data/images/nike/379599_03.jpg
FRUITSFAMILY,4686802,Nike,Nike,[255] 나이키 페가수스 프리미엄 화이트 메탈릭 실버,350000,,255,"교신 , 사이즈 문의시 답장 없이 차단합니다 

나이키 공홈에서 주문한 나코탭 새상품 입니다 

착화감 너무 좋고 에어 제품치고 가볍습니다

신발 디자인 및 색상 너무 배합이 좋습니다

직거래는 부산 강동동 에서 가능하며 

택배 거래시 택배비 5000원 입니다",False,https://fruitsfamily.com/product/2sgcy/255-%EB%82%98%EC%9D%B4%ED%82%A4-%ED%8E%98%EA%B0%80%EC%88%98%EC%8A%A4-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84-%ED%99%94%EC%9D%B4%ED%8A%B8-%EB%A9%94%ED%83%88%EB%A6%AD-%EC%8B%A4%EB%B2%84,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/XAfUxqBieU-1747490705848.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/QJgzIiqfTT-1747490705865.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/CMeE4xIWLQ-1747490705874.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/QF5uodBU1-1747490705884.jpg,data/images/nike/4686802_01.jpg|data/images/nike/4686802_02.jpg|data/images/nike/4686802_03.jpg
FRUITSFAMILY,7396710,Nike,Nike,나이키 자크뮈스 에어맥스1,100000,145000,255,"255 사이즈거
크림 구매후 실착 2회",False,https://fruitsfamily.com/product/4ejc6/%EB%82%98%EC%9D%B4%ED%82%A4-%EC%9E%90%ED%81%AC%EB%AE%88%EC%8A%A4-%EC%97%90%EC%96%B4%EB%A7%A5%EC%8A%A41,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/IcHUdbnoSA-1DA02EEC-B284-4BCD-B7BE-7AF71B387A0D.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/Uy5GKD9XLU-047C0F21-22E5-4C12-BE93-CE90E088C381.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/fIWYsnfre-0B411BAC-C2A6-4B87-B667-553326888469.jpg,data/images/nike/7396710_01.jpg|data/images/nike/7396710_02.jpg|data/images/nike/7396710_03.jpg
FRUITSFAMILY,10399060,Nike,Nike,슈프림 에어포스 블랙 275,150000,,275,"나이키 슈프림 에어포스 275

솔드아웃구매

상태는 사진과 같습니다. 신발이 매우 많아 많이 신지도 않았을뿐더러 원래 깔끔히 신는 사람이라 상태 좋고 여분 신발끈은 그대로있습니다

더 궁금한점 있으면 메시지주세요",False,https://fruitsfamily.com/product/66vys/%EC%8A%88%ED%94%84%EB%A6%BC-%EC%97%90%EC%96%B4%ED%8F%AC%EC%8A%A4-%EB%B8%94%EB%9E%99-275,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/9s-koc0mw-8aa538d32fa3.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/NalG34UB8I-2a196eb3bd05.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/Dok_u32DPy-9e72e36b01ca.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/InQvcHPoAz-5107285718ae.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/FZa0P7-NFj-56aeafd9b25c.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/02nGwlv9dl-238ed16b12a2.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/8LEB96UGNc-62fb66c1b2e8.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/c59VL_oSJY-61332ecaae03.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/ov_PUky6-W-de2a0a2f14f7.jpg,data/images/nike/10399060_01.jpg|data/images/nike/10399060_02.jpg|data/images/nike/10399060_03.jpg
FRUITSFAMILY,10413459,Nike,Nike,나이키 x 프라그먼트 x 사카이 LD와플 블랙큰드 블루,180000,,290,"- 나이키 x 프라그먼트 x 사카이 LD와플 블랙큰드 블루
- 사이즈 : 290 (us11)
- 구매처 : 크림 (60만원)
- 상태 : 8/10

크림에서 구매 후 몇번 안신었습니다. 몇년간 보관하다가 아까워서 판매합니다.",False,https://fruitsfamily.com/product/6772r/%EB%82%98%EC%9D%B4%ED%82%A4-x-%ED%94%84%EB%9D%BC%EA%B7%B8%EB%A8%BC%ED%8A%B8-x-%EC%82%AC%EC%B9%B4%EC%9D%B4-ld%EC%99%80%ED%94%8C-%EB%B8%94%EB%9E%99%ED%81%B0%EB%93%9C-%EB%B8%94%EB%A3%A8,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/1FARzlubq-84d61ae947e9.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/OhXebnadmx-476fe76dcaf2.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/Df057nCCDT-4cce6fb604a9.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/3Z0HoM32Gb-d8ffba40533b.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/LsTMnh7NB1-f822aa7e574c.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/2KQYPx7iyY-3a1b9478d1f1.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/s7hVGOqbPP-edb2ee5b7583.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/1FwFQca6Ib-f9862f419c31.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/2eQjx-iRfa-3380d75f9c7d.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/NcBl6hnVjw-c34d8126a4dc.jpg,data/images/nike/10413459_01.jpg|data/images/nike/10413459_02.jpg|data/images/nike/10413459_03.jpg
FRUITSFAMILY,9919461,Nike,Nike,[255] 나이키 뮤지크 블랙 퍼플,130000,,255,"브랜드: Nike
제품명: Musique Black / Purple
사이즈: 255 / US W8.5
상태: 8/10
구성: 단품
가격: 130,000

—

나이키 뮤지크 여성 댄스화입니다
2000s 출시 모델로 퍼플 스우시와 스티칭 디테일이 특징입니다

Black. Leather Upper. Purple Swoosh
Low-top. Lace-up
블랙 레더 바디에 퍼플 스우시 포인트가 들어간 구성입니다

🦶 반사이즈 업 착용 권장

문의는 채팅 부탁드립니다",False,https://fruitsfamily.com/product/5wlwl/255-%EB%82%98%EC%9D%B4%ED%82%A4-%EB%AE%A4%EC%A7%80%ED%81%AC-%EB%B8%94%EB%9E%99-%ED%8D%BC%ED%94%8C,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/m23GH85Dd-e35cbbce9296.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/LBBIrB6GZT-6fd4e98da764.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/13w-7DF6Wr-5e6925de0519.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/hanmjpIZmS-2c1ac1ec9bc5.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/0AHeAkB4zL-a436dc629ed0.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/pBga0ajNyz-c175b79f2108.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/Ri28t2LwAW-864dc028cbab.jpg,data/images/nike/9919461_01.jpg|data/images/nike/9919461_02.jpg|data/images/nike/9919461_03.jpg
FRUITSFAMILY,9457448,Nike,Nike,[265] 나이키 뮤지크 블랙 스웨이드,140000,,265,"브랜드: Nike
제품명: Musique Black Suede
사이즈: 265
상태: 9/10
구성: 단품
가격: 140,000

—

나이키의 댄스화입니다
2000s 출시 모델로 화이트 스우시와 새틴 스트라이프 패널이 특징입니다

Black. Suede & Satin
Low-top. Lace-up

🦶 반사이즈 이상 업하시는 것을 추천드립니다

문의는 채팅 부탁드립니다

(14)",False,https://fruitsfamily.com/product/5mpew/265-%EB%82%98%EC%9D%B4%ED%82%A4-%EB%AE%A4%EC%A7%80%ED%81%AC-%EB%B8%94%EB%9E%99-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/At0e4yF9c-6359fc684b77.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/66HYPl2oCU-6a779398764d.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/jYaGx82R6B-7bb18275665a.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/LTsZT4fu6Q-65fcc7cea4aa.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/IYr7imPqOD-140eb7584d63.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/ARRQ_Ng4WO-ab3207427ec0.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/vOGFN6iRVC-669073005223.jpg,data/images/nike/9457448_01.jpg|data/images/nike/9457448_02.jpg|data/images/nike/9457448_03.jpg
FRUITSFAMILY,10412821,Nike,Nike,(270) 나이키 에어포스 1 로우 올백 화이트,90000,,270,"아직 새거 느낌 있습니다 정말 상태 좋구요 새거 저렴하게 구매하고 싶어하시는 분들께 추천드립니다!
원하시면 나이키 박스에 넣어서 드릴게요!

당근으로 구매하시면 더 저렴하게 드립니다 연락하시면 아이디 알려드릴게요!",False,https://fruitsfamily.com/product/676l1/270-%EB%82%98%EC%9D%B4%ED%82%A4-%EC%97%90%EC%96%B4%ED%8F%AC%EC%8A%A4-1-%EB%A1%9C%EC%9A%B0-%EC%98%AC%EB%B0%B1-%ED%99%94%EC%9D%B4%ED%8A%B8,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/ILAk73uFu-d91a05dfc074.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/Oq1C4lX30P-503c8a9d540b.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/KrjgtdtF9A-316b2823636b.jpg,data/images/nike/10412821_01.jpg|data/images/nike/10412821_02.jpg|data/images/nike/10412821_03.jpg
FRUITSFAMILY,10402541,Nike,Nike,Nike x Kith Airforce 1 Rebel XX,250000,,270,"Size 270 하이탑

황금 사이즈입니다. 

풀박스",False,https://fruitsfamily.com/product/66ynh/nike-x-kith-airforce-1-rebel-xx,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/dWQhX4bdX7-fc2e0bd94e18.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/TEY70BZwP-f3d2000a89ce.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/x507-HCXfB-c22f9d758560.jpg,data/images/nike/10402541_01.jpg|data/images/nike/10402541_02.jpg|data/images/nike/10402541_03.jpg
FRUITSFAMILY,10412823,Nike,Nike,[260/새상품] 나이키 마인드 001 블랙 앤트러사이트,170000,,260,"나이키 마인드 001 블랙 앤트러사이트 컬러로 모델명은 HQ4307-005 입니다.

260사이즈이며, 새상품 입니다.

튼튼한 재질로 만들어져 오래 신으실 수 있습니다.

구매 원하시면 바로 안전결제 해주시면 됩니다!",False,https://fruitsfamily.com/product/676l3/260-%EC%83%88%EC%83%81%ED%92%88-%EB%82%98%EC%9D%B4%ED%82%A4-%EB%A7%88%EC%9D%B8%EB%93%9C-001-%EB%B8%94%EB%9E%99-%EC%95%A4%ED%8A%B8%EB%9F%AC%EC%82%AC%EC%9D%B4%ED%8A%B8,2026-08-03,https://image.production.fruitsfamily.com/public/product/resized%40width620/x0D_nHLg5-26440c416deb.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/_vYQWifE7p-a8ae587a7e5b.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/Q2Dm0ulfrA-192694b55680.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/4ml3bWZzL0-18cdf793142a.jpg|https://image.production.fruitsfamily.com/public/product/resized%40width620/FBoBA8EAQN-3d2e5c681253.jpg,data/images/nike/10412823_01.jpg|data/images/nike/10412823_02.jpg|data/images/nike/10412823_03.jpg
