run,workerCount,bidderCount,delayMs,initialPrice,bidIncrement,successCount,failureCount,cannotAcquireLockCount,otherExceptionCount,persistedBidCount,currentPrice,maxPersistedBid,currentWinner,maxBidBidder,priceMismatch,winnerMismatch,successPersistedMismatch,lostUpdate,invariantViolation,violations
1,8,8,1000,10000,5000,1,7,7,0,1,45000,45000,11,11,false,false,false,false,false,""
2,8,8,1000,10000,5000,2,6,6,0,2,50000,50000,21,21,false,false,false,false,false,""
3,8,8,1000,10000,5000,2,6,6,0,2,15000,45000,23,29,true,true,false,true,true,"PRICE_MISMATCH: currentPrice=15000 actualMaxBid=45000;WINNER_MISMATCH: currentWinner=23 actualMaxBidder=29;LOST_UPDATE: a Bid amount exceeds Auction.currentPrice"
4,8,8,1000,10000,5000,2,6,6,0,2,20000,50000,33,39,true,true,false,true,true,"PRICE_MISMATCH: currentPrice=20000 actualMaxBid=50000;WINNER_MISMATCH: currentWinner=33 actualMaxBidder=39;LOST_UPDATE: a Bid amount exceeds Auction.currentPrice"
5,8,8,1000,10000,5000,1,7,7,0,1,40000,40000,46,46,false,false,false,false,false,""
6,8,8,1000,10000,5000,1,7,7,0,1,15000,15000,50,50,false,false,false,false,false,""
7,8,8,1000,10000,5000,2,6,6,0,2,20000,40000,60,64,true,true,false,true,true,"PRICE_MISMATCH: currentPrice=20000 actualMaxBid=40000;WINNER_MISMATCH: currentWinner=60 actualMaxBidder=64;LOST_UPDATE: a Bid amount exceeds Auction.currentPrice"
8,8,8,1000,10000,5000,1,7,7,0,1,20000,20000,69,69,false,false,false,false,false,""
9,8,8,1000,10000,5000,1,7,7,0,1,35000,35000,81,81,false,false,false,false,false,""
10,8,8,1000,10000,5000,2,6,6,0,2,40000,40000,91,91,false,false,false,false,false,""
11,8,8,1000,10000,5000,1,7,7,0,1,50000,50000,102,102,false,false,false,false,false,""
12,8,8,1000,10000,5000,1,7,7,0,1,45000,45000,110,110,false,false,false,false,false,""
13,8,8,1000,10000,5000,1,7,7,0,1,15000,15000,113,113,false,false,false,false,false,""
14,8,8,1000,10000,5000,1,7,7,0,1,30000,30000,125,125,false,false,false,false,false,""
15,8,8,1000,10000,5000,1,7,7,0,1,15000,15000,131,131,false,false,false,false,false,""
16,8,8,1000,10000,5000,1,7,7,0,1,30000,30000,143,143,false,false,false,false,false,""
17,8,8,1000,10000,5000,1,7,7,0,1,40000,40000,154,154,false,false,false,false,false,""
18,8,8,1000,10000,5000,1,7,7,0,1,50000,50000,165,165,false,false,false,false,false,""
19,8,8,1000,10000,5000,1,7,7,0,1,45000,45000,173,173,false,false,false,false,false,""
20,8,8,1000,10000,5000,1,7,7,0,1,50000,50000,183,183,false,false,false,false,false,""
