batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,batchElapsedMs
1,0,8,36.536,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.240
1,1,8,37.305,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.240
1,2,8,37.341,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.240
1,3,8,36.471,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.240
1,4,8,35.427,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.240
1,5,8,40.065,SUCCESS,,40.240
1,6,8,36.645,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.240
1,7,8,36.342,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.240
2,0,8,36.775,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,39.132
2,1,8,36.649,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,39.132
2,2,8,36.614,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,39.132
2,3,8,37.496,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,39.132
2,4,8,37.505,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,39.132
2,5,8,38.912,SUCCESS,,39.132
2,6,8,35.639,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,39.132
2,7,8,36.558,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,39.132
3,0,8,33.428,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.346
3,1,8,38.268,SUCCESS,,38.346
3,2,8,33.266,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.346
3,3,8,37.288,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.346
3,4,8,33.247,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.346
3,5,8,34.227,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.346
3,6,8,33.149,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.346
3,7,8,34.267,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.346
4,0,8,35.769,SUCCESS,,35.833
4,1,8,34.891,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,35.833
4,2,8,34.736,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,35.833
4,3,8,34.675,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,35.833
4,4,8,34.608,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,35.833
4,5,8,34.546,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,35.833
4,6,8,34.370,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,35.833
4,7,8,34.772,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,35.833
5,0,8,39.931,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.977
5,1,8,39.883,SUCCESS,,40.977
5,2,8,39.918,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.977
5,3,8,39.947,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.977
5,4,8,39.885,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.977
5,5,8,39.827,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.977
5,6,8,39.739,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.977
5,7,8,40.701,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.977
6,0,8,33.103,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,37.776
6,1,8,33.077,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,37.776
6,2,8,32.773,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,37.776
6,3,8,33.194,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,37.776
6,4,8,33.042,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,37.776
6,5,8,37.545,SUCCESS,,37.776
6,6,8,36.587,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,37.776
6,7,8,36.644,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,37.776
7,0,8,32.926,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.492
7,1,8,32.133,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.492
7,2,8,38.357,SUCCESS,,38.492
7,3,8,32.773,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.492
7,4,8,32.999,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.492
7,5,8,36.354,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.492
7,6,8,32.916,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.492
7,7,8,36.338,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.492
8,0,8,36.485,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.720
8,1,8,36.466,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.720
8,2,8,36.466,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.720
8,3,8,36.345,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.720
8,4,8,36.455,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.720
8,5,8,36.280,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.720
8,6,8,38.424,SUCCESS,,38.720
8,7,8,36.154,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,38.720
9,0,8,54.480,SUCCESS,,54.582
9,1,8,51.225,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,54.582
9,2,8,51.159,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,54.582
9,3,8,51.242,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,54.582
9,4,8,51.221,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,54.582
9,5,8,51.114,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,54.582
9,6,8,51.204,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,54.582
9,7,8,51.049,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,54.582
10,0,8,33.266,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.877
10,1,8,33.402,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.877
10,2,8,34.793,SUCCESS,,34.877
10,3,8,33.361,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.877
10,4,8,33.208,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.877
10,5,8,33.078,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.877
10,6,8,33.327,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.877
10,7,8,33.126,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.877
11,0,8,30.753,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,33.520
11,1,8,30.490,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,33.520
11,2,8,30.535,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,33.520
11,3,8,30.464,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,33.520
11,4,8,30.296,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,33.520
11,5,8,33.347,SUCCESS,,33.520
11,6,8,30.190,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,33.520
11,7,8,30.304,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,33.520
12,0,8,36.497,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.717
12,1,8,40.493,SUCCESS,,40.717
12,2,8,36.428,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.717
12,3,8,36.471,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.717
12,4,8,36.071,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.717
12,5,8,36.481,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.717
12,6,8,36.305,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.717
12,7,8,36.116,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,40.717
13,0,8,30.550,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,32.495
13,1,8,30.516,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,32.495
13,2,8,30.102,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,32.495
13,3,8,30.358,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,32.495
13,4,8,30.079,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,32.495
13,5,8,29.903,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,32.495
13,6,8,30.245,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,32.495
13,7,8,32.009,SUCCESS,,32.495
14,0,8,25.831,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.584
14,1,8,25.884,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.584
14,2,8,25.811,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.584
14,3,8,25.800,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.584
14,4,8,25.682,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.584
14,5,8,25.683,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.584
14,6,8,25.878,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.584
14,7,8,27.413,SUCCESS,,27.584
15,0,8,28.242,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.527
15,1,8,29.216,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.527
15,2,8,30.467,SUCCESS,,30.527
15,3,8,27.171,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.527
15,4,8,28.182,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.527
15,5,8,28.121,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.527
15,6,8,29.092,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.527
15,7,8,27.566,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.527
16,0,8,25.800,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.795
16,1,8,24.520,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.795
16,2,8,26.732,SUCCESS,,26.795
16,3,8,24.521,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.795
16,4,8,25.705,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.795
16,5,8,26.482,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.795
16,6,8,22.884,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.795
16,7,8,25.361,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.795
17,0,8,30.211,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.126
17,1,8,29.211,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.126
17,2,8,29.194,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.126
17,3,8,30.231,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.126
17,4,8,30.212,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.126
17,5,8,32.439,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.126
17,6,8,33.960,SUCCESS,,34.126
17,7,8,30.079,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.126
18,0,8,27.645,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.019
18,1,8,27.531,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.019
18,2,8,27.401,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,30.019
18,3,8,29.948,SUCCESS,,30.019
