run,workerCount,bidderCount,delayMs,initialPrice,bidIncrement,totalAttempts,successCount,businessRejectionCount,exhaustedCount,unexpectedDbFailureCount,optimisticConflictCount,totalRetries,retryCountsPerRequest,persistedBidCount,currentPrice,maxPersistedBid,currentWinner,maxBidBidder,priceMismatch,winnerMismatch,successPersistedMismatch,lostUpdate,invariantViolation,violations
1,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,35000,35000,9,9,false,false,false,false,false,""
2,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,40000,40000,19,19,false,false,false,false,false,""
3,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,50000,50000,30,30,false,false,false,false,false,""
4,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,40000,40000,37,37,false,false,false,false,false,""
5,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,50000,50000,48,48,false,false,false,false,false,""
6,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,50000,50000,57,57,false,false,false,false,false,""
7,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,20000,20000,60,60,false,false,false,false,false,""
8,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,30000,30000,71,71,false,false,false,false,false,""
9,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,20000,20000,78,78,false,false,false,false,false,""
10,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,45000,45000,92,92,false,false,false,false,false,""
11,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,40000,40000,100,100,false,false,false,false,false,""
12,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,30000,30000,107,107,false,false,false,false,false,""
13,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,50000,50000,120,120,false,false,false,false,false,""
14,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,50000,50000,129,129,false,false,false,false,false,""
15,8,8,1000,10000,5000,9,1,1,0,6,1,1,"0;1;0;0;0;0;0;0",1,40000,40000,136,136,false,false,false,false,false,""
16,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,20000,20000,141,141,false,false,false,false,false,""
17,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,45000,45000,155,155,false,false,false,false,false,""
18,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,40000,40000,163,163,false,false,false,false,false,""
19,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,40000,40000,172,172,false,false,false,false,false,""
20,8,8,1000,10000,5000,8,1,0,0,7,0,0,"0;0;0;0;0;0;0;0",1,15000,15000,176,176,false,false,false,false,false,""
