run,workerCount,bidderCount,delayMs,initialPrice,bidIncrement,successCount,failureCount,businessRejectionCount,cannotAcquireLockCount,otherExceptionCount,persistedBidCount,currentPrice,maxPersistedBid,currentWinner,maxBidBidder,priceMismatch,winnerMismatch,successPersistedMismatch,lostUpdate,invariantViolation,violations,businessExceptionTypes
1,8,8,1000,10000,5000,2,6,6,0,0,2,50000,50000,12,12,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
2,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,21,21,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
3,8,8,1000,10000,5000,2,6,6,0,0,2,50000,50000,30,30,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
4,8,8,1000,10000,5000,4,4,4,0,0,4,50000,50000,39,39,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
5,8,8,1000,10000,5000,4,4,4,0,0,4,50000,50000,48,48,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
6,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,57,57,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
7,8,8,1000,10000,5000,5,3,3,0,0,5,50000,50000,66,66,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
8,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,75,75,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
9,8,8,1000,10000,5000,2,6,6,0,0,2,50000,50000,84,84,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
10,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,93,93,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
11,8,8,1000,10000,5000,5,3,3,0,0,5,50000,50000,102,102,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
12,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,111,111,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
13,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,120,120,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
14,8,8,1000,10000,5000,2,6,6,0,0,2,50000,50000,129,129,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
15,8,8,1000,10000,5000,4,4,4,0,0,4,50000,50000,138,138,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
16,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,147,147,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
17,8,8,1000,10000,5000,2,6,6,0,0,2,50000,50000,156,156,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
18,8,8,1000,10000,5000,2,6,6,0,0,2,50000,50000,165,165,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
19,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,174,174,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
20,8,8,1000,10000,5000,3,5,5,0,0,3,50000,50000,183,183,false,false,false,false,false,"","BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException;BidAmountTooLowException"
