batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,batchElapsedMs
1,0,8,101.868,BUSINESS_REJECTION,BidAmountTooLowException,112.555
1,1,8,45.969,BUSINESS_REJECTION,BidAmountTooLowException,112.555
1,2,8,58.867,BUSINESS_REJECTION,BidAmountTooLowException,112.555
1,3,8,80.609,BUSINESS_REJECTION,BidAmountTooLowException,112.555
1,4,8,112.432,BUSINESS_REJECTION,BidAmountTooLowException,112.555
1,5,8,70.176,BUSINESS_REJECTION,BidAmountTooLowException,112.555
1,6,8,91.750,BUSINESS_REJECTION,BidAmountTooLowException,112.555
1,7,8,31.938,SUCCESS,,112.555
2,0,8,76.876,BUSINESS_REJECTION,BidAmountTooLowException,142.002
2,1,8,63.726,BUSINESS_REJECTION,BidAmountTooLowException,142.002
2,2,8,52.826,BUSINESS_REJECTION,BidAmountTooLowException,142.002
2,3,8,41.731,BUSINESS_REJECTION,BidAmountTooLowException,142.002
2,4,8,89.774,BUSINESS_REJECTION,BidAmountTooLowException,142.002
2,5,8,29.786,SUCCESS,,142.002
2,6,8,113.648,SUCCESS,,142.002
2,7,8,141.708,SUCCESS,,142.002
3,0,8,181.907,BUSINESS_REJECTION,BidAmountTooLowException,181.983
3,1,8,154.496,BUSINESS_REJECTION,BidAmountTooLowException,181.983
3,2,8,61.301,BUSINESS_REJECTION,BidAmountTooLowException,181.983
3,3,8,167.556,BUSINESS_REJECTION,BidAmountTooLowException,181.983
3,4,8,139.382,BUSINESS_REJECTION,BidAmountTooLowException,181.983
3,5,8,45.365,SUCCESS,,181.983
3,6,8,93.956,SUCCESS,,181.983
3,7,8,125.399,SUCCESS,,181.983
4,0,8,63.704,BUSINESS_REJECTION,BidAmountTooLowException,137.726
4,1,8,53.466,BUSINESS_REJECTION,BidAmountTooLowException,137.726
4,2,8,40.037,SUCCESS,,137.726
4,3,8,137.570,BUSINESS_REJECTION,BidAmountTooLowException,137.726
4,4,8,127.607,BUSINESS_REJECTION,BidAmountTooLowException,137.726
4,5,8,82.478,SUCCESS,,137.726
4,6,8,114.263,BUSINESS_REJECTION,BidAmountTooLowException,137.726
4,7,8,104.825,SUCCESS,,137.726
5,0,8,120.025,BUSINESS_REJECTION,BidAmountTooLowException,130.384
5,1,8,62.488,BUSINESS_REJECTION,BidAmountTooLowException,130.384
5,2,8,89.909,BUSINESS_REJECTION,BidAmountTooLowException,130.384
5,3,8,52.932,BUSINESS_REJECTION,BidAmountTooLowException,130.384
5,4,8,41.036,SUCCESS,,130.384
5,5,8,80.308,SUCCESS,,130.384
5,6,8,130.238,BUSINESS_REJECTION,BidAmountTooLowException,130.384
5,7,8,108.301,SUCCESS,,130.384
6,0,8,61.472,BUSINESS_REJECTION,BidAmountTooLowException,164.602
6,1,8,82.682,BUSINESS_REJECTION,BidAmountTooLowException,164.602
6,2,8,152.327,BUSINESS_REJECTION,BidAmountTooLowException,164.602
6,3,8,139.229,BUSINESS_REJECTION,BidAmountTooLowException,164.602
6,4,8,124.038,BUSINESS_REJECTION,BidAmountTooLowException,164.602
